Lasso;Tree;Backward_Elimination;RecursiveTop31;RecursiveTop62;RecursiveTop93;Manual;All
MACDS_12_26_9Diff;RSI_20;NormKurs20;MA325Norm;MA325Norm;MA325Norm;MA100Norm;NormKurs5
RSI_5;MA40Norm;NormKurs50;MA400Norm;MA400Norm;MA400Norm;MA125Norm;NormKurs20
MA300Norm;NormKurs50;NormKurs200;NormKurs200;NormKurs200;NormKurs200;MA175Norm;NormKurs50
NormKurs20;NumberRise50;NumberRise50;NumberRise200;NumberRise200;NumberRise200;MA200Norm;NormKurs100
MACD_12_26_9Diff;MA125Norm;NumberRise200;MA2Norm;MA2Norm;MA2Norm;MA300Norm;NormKurs200
NumberRise200;MA400Norm;MA75Norm;MA10NormDiff;MA10NormDiff;MA10NormDiff;MA325Norm;NumberRise50
NormKurs200;NumberRise200;MA100Norm;MA175Norm;MA175Norm;MA175Norm;MA375Norm;NumberRise100
;MA100Norm;MA125Norm;MA225Norm;MA225Norm;MA225Norm;MACDS_12_26_9Diff;NumberRise200
;NumberRise100;MA175Norm;MA375Norm;MA375Norm;MA375Norm;MACD_12_26_9Diff;MA2Norm
;MA375Norm;MA200Norm;MA150NormDiff;MA150NormDiff;MA150NormDiff;NormKurs20;MA5Norm
;MA275Norm;MA300Norm;MA125Norm;MA125Norm;MA125Norm;NormKurs200;MA8Norm
;MA225Norm;MA325Norm;MA100Norm;MA100Norm;MA100Norm;NormKurs50;MA10Norm
;MA150Norm;MA375Norm;MA50Norm;MA50Norm;MA50Norm;NumberRise200;MA13Norm
;MA350Norm;MA34NormDiff;MA22NormDiff;MA22NormDiff;MA22NormDiff;NumberRise50;MA15Norm
;MA300Norm;MA50NormDiff;MA225NormDiff;MA225NormDiff;MA225NormDiff;RSI_5;MA18Norm
;NormKurs100;MA75NormDiff;MA350NormDiff;MA350NormDiff;MA350NormDiff;;MA20Norm
;MA325Norm;MA150NormDiff;MA20NormDiff;MA20NormDiff;MA20NormDiff;;MA22Norm
;MA250Norm;MA200NormDiff;MA75NormDiff;MA75NormDiff;MA75NormDiff;;MA34Norm
;MA175Norm;MA225NormDiff;MACD_5_35_5;MACD_5_35_5;MACD_5_35_5;;MA40Norm
;MA200Norm;MA325NormDiff;MA13Norm;MA13Norm;MA13Norm;;MA50Norm
;NormKurs200;MA375NormDiff;MA125NormDiff;MA125NormDiff;MA125NormDiff;;MA75Norm
;;MA400NormDiff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;;MA100Norm
;;RSI_3;MA250NormDiff;MA250NormDiff;MA250NormDiff;;MA125Norm
;;RSI_5;MA375NormDiff;MA375NormDiff;MA375NormDiff;;MA150Norm
;;RSI_9;NormKurs100;NormKurs100;NormKurs100;;MA175Norm
;;RSI_10;NormKurs50;NormKurs50;NormKurs50;;MA200Norm
;;RSI_25;MA40Norm;MA40Norm;MA40Norm;;MA225Norm
;;MACD_12_26_9;NormKurs20;NormKurs20;NormKurs20;;MA250Norm
;;MACDS_12_26_9;MA275NormDiff;MA275NormDiff;MA275NormDiff;;MA275Norm
;;MACD_12_26_9Diff;NumberRise50;NumberRise50;NumberRise50;;MA300Norm
;;MACDS_12_26_9Diff;MA300NormDiff;MA300NormDiff;MA300NormDiff;;MA325Norm
;;MACD_5_35_5Diff;;MA75Norm;MA75Norm;;MA350Norm
;;day_of_year;;MA400NormDiff;MA400NormDiff;;MA375Norm
;;day_of_month;;month_year__7;month_year__7;;MA400Norm
;;month_year__1;;month_year__2;month_year__2;;MA2NormDiff
;;month_year__2;;MA15NormDiff;MA15NormDiff;;MA5NormDiff
;;month_year__3;;MA50NormDiff;MA50NormDiff;;MA8NormDiff
;;month_year__4;;month_year__6;month_year__6;;MA10NormDiff
;;month_year__5;;MA150Norm;MA150Norm;;MA13NormDiff
;;month_year__6;;month_year__3;month_year__3;;MA15NormDiff
;;month_year__7;;NumberRise100;NumberRise100;;MA18NormDiff
;;month_year__8;;RSI5_diff;RSI5_diff;;MA20NormDiff
;;month_year__9;;MA100NormDiff;MA100NormDiff;;MA22NormDiff
;;month_year__10;;RSI2_diff;RSI2_diff;;MA34NormDiff
;;month_year__11;;Stoch_Sk2177;Stoch_Sk2177;;MA40NormDiff
;;month_year__12;;MACD_12_26_9;MACD_12_26_9;;MA50NormDiff
;;;;MACDS_12_26_9;MACDS_12_26_9;;MA75NormDiff
;;;;Stoch_Sk1383;Stoch_Sk1383;;MA100NormDiff
;;;;MA2NormDiff;MA2NormDiff;;MA125NormDiff
;;;;MA8NormDiff;MA8NormDiff;;MA150NormDiff
;;;;RSI_25;RSI_25;;MA175NormDiff
;;;;RSI_14;RSI_14;;MA200NormDiff
;;;;MA350Norm;MA350Norm;;MA225NormDiff
;;;;Stoch_Sd2177;Stoch_Sd2177;;MA250NormDiff
;;;;month_year__5;month_year__5;;MA275NormDiff
;;;;MA22Norm;MA22Norm;;MA300NormDiff
;;;;MA18Norm;MA18Norm;;MA325NormDiff
;;;;Stoch_Sk211414;Stoch_Sk211414;;MA350NormDiff
;;;;day_of_month;day_of_month;;MA375NormDiff
;;;;MACDS_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;;MA400NormDiff
;;;;MACD_12_26_9DiffDirChange;MACD_12_26_9DiffDirChange;;RSI_2
;;;;day_of_year;day_of_year;;RSI_3
;;;;;week_of_year;;RSI_5
;;;;;MA5Norm;;RSI_9
;;;;;NormKurs5;;RSI_10
;;;;;RSI_3;;RSI_14
;;;;;MACDS_5_35_5Diff;;RSI_20
;;;;;MA40NormDiff;;RSI_25
;;;;;MA200Norm;;RSI2_diff
;;;;;MA275Norm;;RSI3_diff
;;;;;RSI3_diff;;RSI5_diff
;;;;;MA175NormDiff;;RSI9_diff
;;;;;MACD_5_35_5Diff;;RSI10_diff
;;;;;MA18NormDiff;;RSI14_diff
;;;;;RSI14_diff;;RSI20_diff
;;;;;RSI25_diff;;RSI25_diff
;;;;;MA20Norm;;Stoch_Sk1383
;;;;;MA34NormDiff;;Stoch_Sd1383
;;;;;month_year__9;;Stoch_Sk533
;;;;;MA325NormDiff;;Stoch_Sd533
;;;;;MA10Norm;;Stoch_Sk2177
;;;;;Stoch_Sd211414;;Stoch_Sd2177
;;;;;month_year__10;;Stoch_Sk211414
;;;;;month_year__8;;Stoch_Sd211414
;;;;;month_year__11;;Stoch_Sk31414
;;;;;month_year__12;;Stoch_Sd31414
;;;;;MA200NormDiff;;MACD_12_26_9
;;;;;RSI_5;;MACDS_12_26_9
;;;;;week_month__6;;MACD_5_35_5
;;;;;Stoch_Sk31414;;MACDS_5_35_5
;;;;;MA250Norm;;MACD_12_26_9Diff
;;;;;Stoch_Sd31414;;MACDS_12_26_9Diff
;;;;;day_week__1;;MACD_5_35_5Diff
;;;;;;;MACDS_5_35_5Diff
;;;;;;;MACD_12_26_9DiffDirChange
;;;;;;;MACDS_12_26_9DiffDirChange
;;;;;;;MACD_5_35_5DiffDirChange
;;;;;;;MACDS_5_35_5DiffDirChange
;;;;;;;week_of_year
;;;;;;;day_of_year
;;;;;;;day_of_month
;;;;;;;day_week__0
;;;;;;;day_week__1
;;;;;;;day_week__2
;;;;;;;day_week__3
;;;;;;;day_week__4
;;;;;;;month_year__1
;;;;;;;month_year__2
;;;;;;;month_year__3
;;;;;;;month_year__4
;;;;;;;month_year__5
;;;;;;;month_year__6
;;;;;;;month_year__7
;;;;;;;month_year__8
;;;;;;;month_year__9
;;;;;;;month_year__10
;;;;;;;month_year__11
;;;;;;;month_year__12
;;;;;;;week_month__1
;;;;;;;week_month__2
;;;;;;;week_month__3
;;;;;;;week_month__4
;;;;;;;week_month__5
;;;;;;;week_month__6
