Lasso;Tree;Backward_Elimination;RecursiveTop16;RecursiveTop32;RecursiveTop48;RecursiveTop64;Manual;All
MA200Norm;month_year__5;NormKurs200;MA200Norm;MA200Norm;MA200Norm;MA200Norm;MA200Norm;NormKurs5
month_year__10;Stoch_Sk1383;NumberRise200;MACDS_12_26_9;MACDS_12_26_9;MACDS_12_26_9;MACDS_12_26_9;MA50Norm;NormKurs200
MACDS_12_26_9Diff;Stoch_Sk2177;MA50Norm;month_year__7;month_year__7;month_year__7;month_year__7;MACDS_12_26_9;NumberRise200
month_year__11;RSI_9;MA200Norm;month_year__6;month_year__6;month_year__6;month_year__6;MACDS_12_26_9Diff;MA50Norm
month_year__1;month_year__8;MA50NormDiff;month_year__10;month_year__10;month_year__10;month_year__10;MACDS_5_35_5;MA200Norm
month_year__12;Stoch_Sd2177;MA200NormDiff;MACDS_5_35_5;MACDS_5_35_5;MACDS_5_35_5;MACDS_5_35_5;MACD_12_26_9;MA50NormDiff
NumberRise200;MACDS_12_26_9Diff;RSI_9;month_year__11;month_year__11;month_year__11;month_year__11;MACD_5_35_5;MA200NormDiff
month_year__5;month_year__11;RSI9_diff;month_year__1;month_year__1;month_year__1;month_year__1;NormKurs200;RSI_9
MACDS_12_26_9;MA50Norm;RSI10_diff;month_year__12;month_year__12;month_year__12;month_year__12;NumberRise200;RSI_14
month_year__8;RSI_14;RSI14_diff;month_year__5;month_year__5;month_year__5;month_year__5;RSI_9;RSI2_diff
month_year__6;Stoch_Sd211414;RSI20_diff;NormKurs200;NormKurs200;NormKurs200;NormKurs200;Stoch_Sd211414;RSI3_diff
month_year__7;MACD_12_26_9;Stoch_Sk2177;NumberRise200;NumberRise200;NumberRise200;NumberRise200;Stoch_Sd2177;RSI5_diff
;Stoch_Sk211414;Stoch_Sd2177;month_year__8;month_year__8;month_year__8;month_year__8;Stoch_Sd31414;RSI9_diff
;month_year__1;Stoch_Sk211414;MACDS_12_26_9Diff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;Stoch_Sk211414;RSI10_diff
;Stoch_Sk31414;Stoch_Sd211414;MA50Norm;MA50Norm;MA50Norm;MA50Norm;Stoch_Sk2177;RSI14_diff
;MACDS_5_35_5;Stoch_Sk31414;week_of_year;week_of_year;week_of_year;week_of_year;Stoch_Sk31414;RSI20_diff
;month_year__10;Stoch_Sd31414;;MACD_5_35_5;MACD_5_35_5;MACD_5_35_5;day_of_year;RSI25_diff
;Stoch_Sd31414;MACD_12_26_9;;RSI_9;RSI_9;RSI_9;month_year__1;Stoch_Sk1383
;MACD_5_35_5;MACDS_12_26_9;;MACD_12_26_9;MACD_12_26_9;MACD_12_26_9;month_year__10;Stoch_Sd1383
;month_year__7;MACD_5_35_5;;month_year__9;month_year__9;month_year__9;month_year__11;Stoch_Sk533
;month_year__6;MACDS_5_35_5;;MACD_12_26_9Diff;MACD_12_26_9Diff;MACD_12_26_9Diff;month_year__12;Stoch_Sd533
;MACDS_12_26_9;MACD_12_26_9Diff;;Stoch_Sd2177;Stoch_Sd2177;Stoch_Sd2177;month_year__5;Stoch_Sk2177
;week_of_year;MACDS_12_26_9Diff;;day_of_year;day_of_year;day_of_year;month_year__6;Stoch_Sd2177
;day_of_year;MACD_5_35_5Diff;;Stoch_Sk2177;Stoch_Sk2177;Stoch_Sk2177;month_year__7;Stoch_Sk211414
;NumberRise200;MACDS_5_35_5Diff;;MACDS_5_35_5Diff;MACDS_5_35_5Diff;MACDS_5_35_5Diff;month_year__8;Stoch_Sd211414
;MA200Norm;week_of_year;;Stoch_Sd1383;Stoch_Sd1383;Stoch_Sd1383;week_of_year;Stoch_Sk31414
;NormKurs200;day_of_year;;Stoch_Sk1383;Stoch_Sk1383;Stoch_Sk1383;;Stoch_Sd31414
;;day_of_month;;MA50NormDiff;MA50NormDiff;MA50NormDiff;;MACD_12_26_9
;;day_week__0;;month_year__3;month_year__3;month_year__3;;MACDS_12_26_9
;;day_week__1;;month_year__2;month_year__2;month_year__2;;MACD_5_35_5
;;day_week__3;;MACD_5_35_5Diff;MACD_5_35_5Diff;MACD_5_35_5Diff;;MACDS_5_35_5
;;day_week__4;;Stoch_Sk211414;Stoch_Sk211414;Stoch_Sk211414;;MACD_12_26_9Diff
;;month_year__1;;;MACD_5_35_5DiffDirChange;MACD_5_35_5DiffDirChange;;MACDS_12_26_9Diff
;;month_year__2;;;Stoch_Sd31414;Stoch_Sd31414;;MACD_5_35_5Diff
;;month_year__3;;;Stoch_Sk533;Stoch_Sk533;;MACDS_5_35_5Diff
;;month_year__4;;;Stoch_Sd211414;Stoch_Sd211414;;MACD_12_26_9DiffDirChange
;;month_year__5;;;day_week__1;day_week__1;;MACDS_12_26_9DiffDirChange
;;month_year__6;;;Stoch_Sk31414;Stoch_Sk31414;;MACD_5_35_5DiffDirChange
;;month_year__7;;;RSI9_diff;RSI9_diff;;MACDS_5_35_5DiffDirChange
;;month_year__8;;;NormKurs5;NormKurs5;;week_of_year
;;month_year__9;;;week_month__4;week_month__4;;day_of_year
;;month_year__10;;;day_week__3;day_week__3;;day_of_month
;;month_year__11;;;day_of_month;day_of_month;;day_week__0
;;month_year__12;;;week_month__2;week_month__2;;day_week__1
;;week_month__1;;;Stoch_Sd533;Stoch_Sd533;;day_week__2
;;week_month__2;;;RSI5_diff;RSI5_diff;;day_week__3
;;week_month__3;;;month_year__4;month_year__4;;day_week__4
;;week_month__4;;;week_month__5;week_month__5;;month_year__1
;;week_month__5;;;;MACDS_5_35_5DiffDirChange;;month_year__2
;;week_month__6;;;;RSI10_diff;;month_year__3
;;;;;;week_month__6;;month_year__4
;;;;;;day_week__4;;month_year__5
;;;;;;week_month__1;;month_year__6
;;;;;;week_month__3;;month_year__7
;;;;;;RSI25_diff;;month_year__8
;;;;;;RSI3_diff;;month_year__9
;;;;;;RSI_14;;month_year__10
;;;;;;RSI14_diff;;month_year__11
;;;;;;day_week__2;;month_year__12
;;;;;;day_week__0;;week_month__1
;;;;;;RSI20_diff;;week_month__2
;;;;;;RSI2_diff;;week_month__3
;;;;;;MACDS_12_26_9DiffDirChange;;week_month__4
;;;;;;MACD_12_26_9DiffDirChange;;week_month__5
;;;;;;;;week_month__6
